Celex	Celex	NNP
Test	Test	NNP
Official	Official	NNP
Journal	Journal	NNP
C	C	NNP
310	@card@	CD
,	,	,
16	@card@	CD
December	December	NNP
2004	@card@	CD
EN	en	NNP
Treaty	treaty	NN
establishing	establish	VBD
a	a	DT
Constitution	Constitution	NNP
for	for	IN
Europe	Europe	NNP
PREAMBLE	preamble	NNP
PART	part	RB
I	I	PRP
PART	part	NNP
II	II	NNP
-	-	:
THE	the	DT
CHARTER	charter	NNP
OF	of	NNP
FUNDAMENTAL	fundamental	NNP
RIGHTS	right	NNP
OF	of	NNP
THE	the	NNP
UNION	union	NNP
PART	part	NNP
III	III	NNP
-	-	:
THE	the	DT
POLICIES	policy	NNP
AND	and	NNP
FUNCTIONING	function	NNP
OF	of	NNP
THE	the	NNP
UNION	union	NNP
PART	part	NNP
IV	IV	NNP
-	-	:
GENERAL	GENERAL	NNP
AND	and	NNP
FINAL	final	NNP
PROVISIONS	provision	NNP
PROTOCOLS	protocol	NNP
AND	and	NNP
ANNEXES	annex	NNP
A.	A.	NN
Protocols	protocol	NNP
annexed	annex	VBD
to	to	TO
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBD
a	a	DT
Constitution	Constitution	NNP
for	for	IN
Europe	Europe	NNP
1.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
role	role	NN
of	of	IN
national	national	JJ
Parliaments	parliament	NNS
in	in	IN
the	the	DT
European	European	NNP
Union	Union	NNP
2.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
application	application	NN
of	of	IN
the	the	DT
principles	principle	NNS
of	of	IN
subsidiarity	subsidiarity	NN
and	and	CC
proportionality	proportionality	NN
3.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
Court	Court	NNP
of	of	IN
Justice	Justice	NNP
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
4.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
European	European	JJ
System	System	NN
of	of	IN
Central	Central	NNP
Banks	Banks	NNP
and	and	CC
of	of	IN
the	the	DT
European	European	NNP
Central	Central	NNP
Bank	Bank	NNP
5.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
Statute	statute	NN
of	of	IN
the	the	DT
European	European	NNP
Investment	Investment	NNP
Bank	Bank	NNP
6.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
location	location	NN
of	of	IN
the	the	DT
seats	seat	NNS
of	of	IN
the	the	DT
institutions	institution	NNS
and	and	CC
of	of	IN
certain	certain	JJ
bodies	body	NNS
,	,	,
offices	office	NNS
,	,	,
agencies	agency	NNS
and	and	CC
departments	department	NNS
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
7.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
privileges	privilege	NNS
and	and	CC
immunities	immunity	NNS
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
8.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
Treaties	treaty	NNP
and	and	CC
Acts	act	NNP
of	of	IN
Accession	accession	NNP
of	of	IN
the	the	DT
Kingdom	Kingdom	NNP
of	of	IN
Denmark	Denmark	NNP
,	,	,
Ireland	Ireland	NNP
and	and	CC
the	the	DT
United Kingdom	United Kingdom	NNP
of	of	IN
Great Britain	Great Britain	NNP
and	and	CC
Northern Ireland	Northern Ireland	NNP
,	,	,
of	of	IN
the	the	DT
Hellenic	Hellenic	NNP
Republic	Republic	NNP
,	,	,
of	of	IN
the	the	DT
Kingdom	Kingdom	NNP
of	of	IN
Spain	Spain	NNP
and	and	CC
the	the	DT
Portuguese	Portuguese	NNP
Republic	Republic	NNP
,	,	,
and	and	CC
of	of	IN
the	the	DT
Republic	Republic	NNP
of	of	IN
Austria	Austria	NNP
,	,	,
the	the	DT
Republic	Republic	NNP
of	of	IN
Finland	Finland	NNP
and	and	CC
the	the	DT
Kingdom	Kingdom	NNP
of	of	IN
Sweden	Sweden	NNP
9.	@ord@	CD
Protocol	protocol	NN
on	on	IN
the	the	DT
Treaty	Treaty	NN
and	and	CC
the	the	DT
Act	act	NN
of	of	IN
Accession	accession	NNP
of	of	IN
the Czech Republic	the Czech Republic	NNP
,	,	,
the Republic	the Republic	NNP
of Estonia	of Estonia	NNP
,	,	,
the Republic of Cyprus	the Republic of Cyprus	NNP
,	,	,
the Republic of Latvia	the Republic of Latvia	NNP
,	,	,
the Republic of	the Republic of	NNP
Lithuania	Lithuania	NNP
,	,	,
the	the	DT
Republic of Hungary	Republic of Hungary	NNP
,	,	,
the Republic	the Republic	NNP
of Malta	of Malta	NNP
,	,	,
the Republic of Poland	the Republic of Poland	NNP
,	,	,
the Republic of	the Republic of	NNP
Slovenia	Slovenia	NNP
and	and	CC
the Slovak Republic	the Slovak Republic	NNP
10	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
excessive	excessive	JJ
deficit	deficit	NN
procedure	procedure	NN
11	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
convergence	convergence	NN
criteria	criterion	NN
12	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
Euro	Euro	NNP
Group	Group	NNP
13	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
certain	certain	JJ
provisions	provision	NNS
relating	relate	VBG
to	to	TO
the	the	DT
United Kingdom	United Kingdom	NNP
of	of	IN
Great Britain	Great Britain	NNP
and	and	CC
Northern Ireland	Northern Ireland	NNP
as	as	IN
regards	regard	JJ
economic	economic	JJ
and	and	CC
monetary	monetary	JJ
union	union	NN
14	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
certain	certain	JJ
provisions	provision	NNS
relating	relate	VBG
to	to	TO
Denmark	Denmark	NNP
as	as	IN
regards	regard	JJ
economic	economic	JJ
and	and	CC
monetary	monetary	JJ
union	union	NN
15	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
certain	certain	JJ
tasks	task	NNS
of	of	IN
the	the	DT
National	National	NNP
Bank	Bank	NNP
of	of	IN
Denmark	Denmark	NNP
16	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
Pacific	Pacific	NNP
Financial	Financial	NNP
Community	Community	NNP
franc	franc	NN
system	system	NN
acquis	acquis	NNS
integrated	integrate	VBN
into	into	IN
the	the	DT
framework	framework	NN
of	of	IN
the	the	DT
European	European	NNP
Union	Union	NNP
18	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
application	application	NN
of	of	IN
certain	certain	JJ
aspects	aspect	NNS
of	of	IN
Article III-130	Article III-130	NNP
of	of	IN
the	the	DT
Constitution	Constitution	NNP
to	to	TO
the	the	DT
United Kingdom	United Kingdom	NNP
and	and	CC
to	to	NNP
Ireland	Ireland	NNP
19	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
position	position	NN
of	of	IN
the	the	DT
United Kingdom	United Kingdom	NNP
and	and	CC
Ireland	Ireland	NNP
on	on	IN
policies	policy	NNS
in	in	IN
respect	respect	NN
of	of	IN
border	border	NN
controls	control	NNS
,	,	,
asylum	asylum	NN
and	and	CC
immigration	immigration	NN
,	,	,
judicial	judicial	JJ
cooperation	cooperation	NN
in	in	IN
civil	civil	JJ
matters	matter	NNS
and	and	CC
on	on	IN
police	police	JJ
cooperation	cooperation	NN
20	@card@	CD
.	.	NN
Protocol	protocol	NN
on	on	IN
the	the	DT
position	position	NN
of	of	IN
Denmark	Denmark	NNP
21	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
external	external	JJ
relations	relation	NNS
of	of	IN
the	the	DT
Member	Member	NNP
States	States	NNP
with	with	IN
regard	regard	NN
to	to	TO
the	the	DT
crossing	cross	NN
of	of	IN
external	external	JJ
borders	border	NNS
22	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
asylum	asylum	NN
for	for	IN
nationals	national	NNS
of	of	IN
Member	Member	NNP
States	States	NNPS
23	@card@	CD
.	.	.
Protocol	protocol	NNP
on	on	IN
permanent	permanent	JJ
structured	structured	JJ
cooperation	cooperation	NN
established	establish	VBN
by	by	IN
Article I-41(6	Article I-41(6	CD
)	)	)
and	and	CC
Article III-312	Article III-312	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
24	@card@	CD
.	.	NN
Protocol	protocol	NN
on	on	IN
Article I-41(2	Article I-41(2	JJ
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
25	@card@	CD
.	.	.
Protocol	protocol	NN
concerning	concern	NN
imports	import	NNS
into	into	IN
the	the	DT
European	European	NNP
Union	union	NNP
of	of	IN
petroleum	petroleum	NN
products	product	NNS
refined	refine	VBN
in	in	IN
the	the	DT
Netherlands	Netherlands	NNPS
Antilles	Antilles	NNPS
26	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
acquisition	acquisition	NN
of	of	IN
property	property	NN
in	in	IN
Denmark	Denmark	NNP
27	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
system	system	NN
of	of	IN
public	public	JJ
broadcasting	broadcasting	NN
in	in	IN
the	the	DT
Member	Member	NNP
States	States	NNPS
28	@card@	CD
.	.	.
Protocol	protocol	NN
concerning	concern	VBG
Article III-214	Article III-214	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
29	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
economic	economic	JJ
,	,	,
social	social	JJ
and	and	CC
territorial	territorial	JJ
cohesion	cohesion	NN
30	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
special	special	JJ
arrangements	arrangement	NNS
for	for	IN
Greenland	Greenland	NNP
31	@card@	CD
.	.	.
Protocol	Protocol	NN
on	on	IN
Article 40.3.3	Article 40.3.3	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
of	of	IN
Ireland	Ireland	NNP
32	@card@	CD
.	.	.
Protocol	protocol	NNP
relating	relate	NN
to	to	TO
Article I-9(2	Article I-9(2	CD
)	)	NN
of	of	IN
the	the	DT
Constitution	Constitution	NNP
on	on	IN
the	the	DT
accession	accession	NN
of	of	IN
the	the	DT
Union	Union	NNP
to	to	TO
the	the	DT
European	European	JJ
Convention	convention	NN
on	on	IN
the	the	DT
Protection	Protection	NNP
of	of	IN
Human	Human	NNP
Rights	Rights	NNPS
and	and	CC
Fundamental	fundamental	NNP
Freedoms	freedom	NNP
33	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
Acts	act	NNS
and	and	CC
Treaties	treaty	NNS
which	which	WDT
have	have	VBP
supplemented	supplement	VBN
or	or	CC
amended	amend	VBN
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBG
the	the	DT
European	European	NNP
Community	Community	NNP
and	and	CC
the	the	DT
Treaty	Treaty	NN
on	on	IN
European	European	NNP
Union	Union	NNP
34	@card@	CD
.	.	NN
Protocol	protocol	NN
on	on	IN
the	the	DT
transitional	transitional	JJ
provisions	provision	NNS
relating	relate	VBG
to	to	TO
the	the	DT
institutions	institution	NNS
and	and	CC
bodies	body	NNS
of	of	IN
the	the	DT
Union	Union	NNP
35	@card@	CD
.	.	.
Protocol	protocol	NN
on	on	IN
the	the	DT
financial	financial	JJ
consequences	consequence	NNS
of	of	IN
the	the	DT
expiry	expiry	NN
of	of	IN
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBG
the	the	DT
European	European	NNP
Coal	Coal	NNP
and	and	CC
Steel	Steel	NNP
Community	Community	NNP
and	and	CC
on	on	IN
the	the	DT
Research	Research	NNP
Fund	Fund	NNP
for	for	IN
Coal	Coal	NNP
and	and	CC
Steel	Steel	NNP
36	@card@	CD
.	.	.
Protocol	protocol	NNP
amending	amend	VBD
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBG
the	the	DT
European	European	NNP
Atomic	atomic	NNP
Energy	Energy	NNP
Community	Community	NNP
B.	B.	NNP
Annexes	annex	NNS
to	to	TO
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBD
a	a	DT
Constitution	Constitution	NNP
for	for	IN
Europe	Europe	NNP
Annex I	Annex I	NNP
-	-	:
List	List	NN
referred	refer	VBN
to	to	TO
in	in	IN
Article III-226	Article III-226	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
Annex II	Annex II	NNP
-	-	:
Overseas	overseas	JJ
countries	country	NNS
and	and	CC
territories	territory	NNS
to	to	TO
which	which	VB
Title IV	Title IV	NNP
of	of	IN
Part III	Part III	NNP
of	of	IN
the	the	DT
Constitution	Constitution	NNP
applies	apply	VBZ
FINAL	final	NNP
ACT	act	NNP
A.	A.	NN
Declarations	declaration	NNS
concerning	concern	JJ
provisions	provision	NNS
of	of	IN
the	the	DT
Constitution	Constitution	NNP
B.	B.	NNP
Declarations	declaration	NNS
concerning	concern	VBG
Protocols	protocol	NNP
annexed	annex	VBD
to	to	TO
the	the	DT
Constitution	Constitution	NNP
Celex	Celex	NNP
Test	Test	NNP
Treaty	treaty	NN
establishing	establish	VBD
a	a	DT
Constitution	Constitution	NNP
for	for	IN
Europe	Europe	NNP
PREAMBLE	preamble	NNP
HIS	his	NNP
MAJESTY	majesty	NNP
THE	the	NNP
KING	kingbolt	NNP
OF	of	NNP
THE	the	NNP
BELGIANS	Belgian	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
CZECH REPUBLIC	CZECH REPUBLIC	NNP
,	,	,
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
DENMARK	Denmark	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE FEDERAL	THE FEDERAL	NNP
REPUBLIC	republic	NNP
OF	of	NNP
GERMANY	Germany	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
ESTONIA	Estonia	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
HELLENIC	Hellenic	NNP
REPUBLIC	republic	NNP
,	,	,
HIS	his	NNP
MAJESTY	majesty	NNP
THE	the	NNP
KING	kingbolt	NNP
OF	of	NNP
SPAIN	Spain	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
FRENCH	French	NNP
REPUBLIC	republic	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
IRELAND	Ireland	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
ITALIAN	Italian	NNP
REPUBLIC	republic	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
CYPRUS	cypress	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
LATVIA	Latvia	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
LITHUANIA	Lithuania	NNP
,	,	,
HIS	his	NNP
ROYAL	royal	NNP
HIGHNESS	highness	NNP
THE	the	NNP
GRAND	grand	NNP
DUKE	duke	NNP
OF	of	NNP
LUXEMBOURG	Luxembourg	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
HUNGARY	Hungary	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
MALTA	Malta	NNP
,	,	,
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
THE	the	NNP
NETHERLANDS	Netherlands	NNP
,	,	,
THE	the	DT
FEDERAL	Federal	NNP
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
AUSTRIA	Austria	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
POLAND	Poland	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
PORTUGUESE	Portuguese	NNP
REPUBLIC	republic	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE REPUBLIC	THE REPUBLIC	NNP
OF	of	NNP
SLOVENIA	Slovenia	NNP
,	,	,
THE	the	DT
PRESIDENT	president	NNP
OF	of	NNP
THE	the	NNP
SLOVAK	Slovak	NNP
REPUBLIC	republic	NNP
,	,	,
THE PRESIDENT	THE PRESIDENT	NNP
OF	of	NNP
THE	the	NNP
REPUBLIC	republic	NNP
OF	of	NNP
FINLAND	Finland	NNP
,	,	,
THE	the	DT
GOVERNMENT	government	NNP
OF	of	NNP
THE	the	NNP
KINGDOM	kingdom	NNP
OF	of	NNP
SWEDEN	Sweden	NNP
,	,	,
HER	her	NNP
MAJESTY	majesty	NNP
THE	the	NNP
QUEEN	queen	NNP
OF	of	NNP
THE	the	NNP
UNITED	UNITED	NNP
KINGDOM	kingdom	NNP
OF	of	NNP
GREAT	GREAT	NNP
BRITAIN	Britain	NNP
AND	and	NNP
NORTHERN	NORTHERN	NNP
IRELAND	Ireland	NNP
,	,	,
DRAWING	draw	NNP
INSPIRATION	inspiration	NNP
from	from	IN
the	the	DT
cultural	cultural	JJ
,	,	NN
religious	religious	NN
and	and	CC
humanist	humanist	JJ
inheritance	inheritance	NN
of	of	IN
Europe	Europe	NNP
,	,	,
from	from	IN
which	which	WDT
have	have	VBP
developed	develop	VBN
the	the	DT
universal	universal	JJ
values	value	NNS
of	of	IN
the	the	DT
inviolable	inviolable	NN
and	and	CC
inalienable	inalienable	JJ
rights	right	NNS
of	of	IN
the	the	DT
human	human	JJ
person	person	NN
,	,	JJ
freedom	freedom	NN
,	,	,
democracy	democracy	NN
,	,	,
equality	equality	NN
and	and	CC
the	the	DT
rule	rule	NN
of	of	IN
law	law	NN
,	,	,
BELIEVING	believe	NN
that	that	IN
Europe	Europe	NNP
,	,	,
reunited	reunite	VBD
after	after	IN
bitter	bitter	JJ
experiences	experience	NNS
,	,	,
intends	intend	VBZ
to	to	TO
continue	continue	VB
along	along	IN
the	the	DT
path	path	NN
of	of	IN
civilisation	civilization	NN
,	,	,
progress	progress	NN
and	and	CC
prosperity	prosperity	NN
,	,	,
for	for	IN
the	the	DT
good	good	NN
of	of	IN
all	all	DT
its	its	PRP$
inhabitants	inhabitant	NNS
,	,	,
including	include	IN
the	the	DT
weakest	weak	NN
and	and	CC
most	most	JJS
deprived	deprive	JJ
;	;	NN
that	that	IN
it	it	PRP
wishes	wish	VBZ
to	to	TO
remain	remain	VB
a	a	DT
continent	continent	JJ
open	open	JJ
to	to	NN
culture	culture	NN
,	,	,
learning	learn	NN
and	and	CC
social	social	JJ
progress	progress	NN
;	;	:
and	and	CC
that	that	IN
it	it	PRP
wishes	wish	VBZ
to	to	TO
deepen	deepen	VB
the	the	DT
democratic	democratic	JJ
and	and	CC
transparent	transparent	JJ
nature	nature	NN
of	of	IN
its	its	PRP$
public	public	JJ
life	life	NN
,	,	,
and	and	CC
to	to	TO
strive	strive	VB
for	for	IN
peace	peace	NN
,	,	,
justice	justice	NN
and	and	CC
solidarity	solidarity	NN
throughout	throughout	IN
the	the	DT
world	world	NN
,	,	,
CONVINCED	convince	NNP
that	that	NN
,	,	,
while	while	IN
remaining	remain	VBG
proud	proud	JJ
of	of	IN
their	their	PRP$
own	own	JJ
national	national	JJ
identities	identity	NNS
and	and	CC
history	history	NN
,	,	,
the	the	DT
peoples	people	NNS
of	of	IN
Europe	Europe	NNP
are	be	VBP
determined	determine	VBN
to	to	TO
transcend	transcend	VB
their	their	PRP$
former	former	JJ
divisions	division	NNS
and	and	CC
,	,	NN
united	unite	VBD
ever	ever	RB
more	more	RBR
closely	closely	RB
,	,	JJ
to	to	TO
forge	forge	VB
a	a	DT
common	common	JJ
destiny	destiny	NN
,	,	,
CONVINCED	convince	NNP
that	that	NNP
,	,	,
thus	thus	RB
&amp; amp; amp	&amp; amp; amp	JJ
;	;	NN
#x2018	#x2018	CD
;	;	JJ
United	United	NNP
in	in	IN
diversity	diversity	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
,	,	,
Europe	Europe	NNP
offers	offer	VBZ
them	them	PRP
the	the	DT
best	good	JJS
chance	chance	NN
of	of	IN
pursuing	pursue	NN
,	,	NN
with	with	IN
due	due	JJ
regard	regard	NN
for	for	IN
the	the	DT
rights	right	NNS
